学号,类别,名称,补充说明,获奖情况,人员次序,获得日期,结题时间,认定学分,状态,审核人,审核意见
202300001,前沿学术报告,汽车百家讲坛,第11期以后·汽车轻量化设计与新材料应用,,,2024-06-06,,0.25,通过,李文静,佐证材料完整，予以通过
202300001,年度创新创业项目,校级·一般成员,基于STM32的智能循迹小车,,一般成员,2025-09-24,2026-06-30,1.0,通过,李文静,符合认定条件，通过
202300001,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·二等奖,负责人,2024-04-21,,4.0,通过,李文静,材料齐全，同意认定
202300001,创业实践,新能源汽车科普工作室,创业训练计划·负责人,,负责人,2025-03-27,,3.0,通过,李文静,符合认定条件，通过
202300001,学术论文,汽车主动悬架半主动控制策略仿真,SCI/EI 收录·第二作者,,第二作者,2026-03-11,,4.0,通过,李文静,符合认定条件，通过
202300001,申请专利,一种新能源汽车充电枪锁止机构,外观设计专利·第一发明人,,第一发明人,2025-01-14,,2.0,通过,李文静,佐证材料完整，予以通过
202300001,其他实践活动,暑期高校科学营活动,学术交流访问·出境交流,,,2024-09-27,,2.0,通过,李文静,材料齐全，同意认定
202300002,前沿学术报告,汽车百家讲坛,第1-5期·智能制造与数字化工厂实践,,,2024-12-17,,0.25,待审核,,
202300002,年度创新创业项目,省级·一般成员,车载OBD数据采集与驾驶行为分析,,一般成员,2025-04-12,2026-06-30,1.5,通过,李文静,佐证材料完整，予以通过
202300002,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·三等奖,第三完成人,2026-08-17,,1.0,通过,李文静,符合认定条件，通过
202300002,创业实践,新能源汽车科普工作室,注册成立公司·法人代表,,法人代表,2026-08-14,,6.0,通过,李文静,佐证材料完整，予以通过
202300002,学术论文,低温环境下锂电池充放电特性研究,国际/国内会议·其他作者,,其他作者,2025-09-06,,1.0,待审核,,
202300002,申请专利,一种电动汽车电池包液冷结构,外观设计专利·第一发明人,,第一发明人,2025-01-20,,2.0,待审核,,
202300002,其他实践活动,汽车工程学院企业行,技能资格培训·高级,,,2025-07-02,,1.5,待审核,,
202300003,前沿学术报告,汽车百家讲坛,第1-5期·汽车空气动力学优化设计,,,2026-05-16,,0.25,通过,李文静,材料齐全，同意认定
202300003,年度创新创业项目,国家级·负责人,智能导览机器人设计与实现,,负责人,2025-04-11,2026-06-30,6.0,通过,李文静,佐证材料完整，予以通过
202300003,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,校级·三等奖,负责人,2025-12-18,,0.5,待审核,,
202300003,创业实践,大学生汽车文创工作室,创业训练计划·负责人,,负责人,2025-05-06,,3.0,通过,李文静,材料齐全，同意认定
202300003,学术论文,基于多目标优化的车身结构轻量化设计,普通期刊·其他作者,,其他作者,2026-07-22,,0.5,通过,李文静,符合认定条件，通过
202300003,申请专利,一种可调节角度的车载平板支架,实用新型专利·其他发明人,,其他发明人,2025-03-06,,1.5,通过,李文静,符合认定条件，通过
202300003,其他实践活动,汽车工程学院企业行,学术交流访问·境内交流,,,2024-09-08,,1.0,通过,李文静,符合认定条件，通过
202300004,前沿学术报告,汽车百家讲坛,第1-5期·智能网联汽车技术前沿,,,2024-09-03,,0.25,待审核,,
202300004,年度创新创业项目,省级·负责人,基于深度学习的交通标志识别系统,,负责人,2025-06-10,2026-06-30,4.0,通过,李文静,材料齐全，同意认定
202300004,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·三等奖,负责人,2026-08-09,,2.0,待审核,,
202300004,创业实践,大学生汽车文创工作室,注册成立公司·合伙人,,合伙人,2026-01-22,,4.0,待院长审批,李文静,初审通过，转院长审批
202300004,学术论文,基于多目标优化的车身结构轻量化设计,核心期刊·第二作者,,第二作者,2025-10-25,,2.0,待审核,,
202300004,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2025-01-28,,3.0,通过,李文静,符合认定条件，通过
202300004,其他实践活动,汽车工程学院企业行,学科冬夏令营·校级,,,2024-03-08,,0.5,待审核,,
202300005,前沿学术报告,汽车百家讲坛,第1-5期·无人驾驶环境感知技术进展,,,2026-08-11,,0.25,通过,李文静,材料齐全，同意认定
202300005,年度创新创业项目,校级·负责人,智能导览机器人设计与实现,,负责人,2025-09-03,2026-06-30,2.0,通过,李文静,材料齐全，同意认定
202300005,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·三等奖,第二完成人,2024-12-23,,1.4,待审核,,
202300005,创业实践,新能源汽车科普工作室,创业训练计划·团队成员,,团队成员,2026-08-24,,1.5,通过,李文静,佐证材料完整，予以通过
202300005,学术论文,基于YOLO的车距保持辅助算法研究,普通期刊·第一作者,,第一作者,2025-03-24,,2.0,通过,李文静,符合认定条件，通过
202300005,申请专利,一种车载智能空气净化装置,实用新型专利·其他发明人,,其他发明人,2026-04-27,,1.5,通过,李文静,佐证材料完整，予以通过
